Epoch,Accuracy,ECE,MCE
10,69.75,0.08288903237879279,0.18884355326493582
30,79.86,0.062810453645885,0.1842210590839386
50,85.44,0.04017822496294973,0.15844930374557198
70,86.89,0.0537229495704174,0.2635946571826935
100,89.86,0.056867721191048645,0.19489374252909042
150,89.97,0.0636683878421783,0.7519149482250214
200,89.97,0.06367215521931649,0.2625591377599523
300,89.9,0.06484632920622825,0.292280912399292
400,89.89,0.06530876834094526,0.4378184676170349
500,89.95,0.06469298162162306,0.36587124069531757
